,SOLUSDT,LTCUSDT,Spread,Zscore
195,145.61285578,84.13,-3.2972442200000103,-2.6126034893989085
196,139.38,81.61396067,-5.076710385900014,-2.96446604302643
197,143.519,82.75,-2.9484999999999957,-1.3878545210466091
198,133.62599454,77.11,-2.85870546000001,-1.2060916468551897
199,124.15652812,72.59246445,-4.3321339564999874,-1.8263073566773715
200,133.461,75.2,0.3569999999999993,0.8354626382455117
201,141.06542513,77.47799497,3.9293740331000038,2.3129216723130996
202,138.39379544,77.31289751,1.5499668472999986,1.0689483147655539
203,137.94200618,76.23,3.014906179999997,1.5800087813619716
204,138.41358704,76.10363179,3.7101587717000086,1.7003749126458796
205,134.38901524,75.62,0.5416152399999703,0.42753683135170506
206,134.92216278,75.6367436,1.045126608000004,0.6305285849418981
207,140.2681128,77.15,3.712612799999988,1.5467224281398317
208,142.552,78.11972559,4.280085705699975,1.562818437520489
209,143.053,79.08336889,3.0754370646999973,1.0468671330832404
210,144.019,79.6,3.1270000000000095,0.9876857660497689
211,142.99825059,79.40936984,2.4436659732000123,0.7022970370172219
212,141.45623006,79.56011179,0.6348321917000135,0.08272933668307499
213,142.52081816,79.4,1.9828181599999937,0.49003594344483764
214,138.848,77.77520697,1.1858836631000145,0.18062796255893418
215,141.415,78.63140204,2.237418389200002,0.47308425735875603
216,137.772,78.06,-0.3942000000000121,-0.5122055981811049
217,137.26120848,77.65760691,-0.19275575070000173,-0.6022663606808553
218,137.92750476,77.77,0.27460476000001677,-0.5106368989162673
219,139.061,78.47,0.16910000000001446,-0.6879456808749521
220,137.7473635,77.42115287,0.7119229200999939,-0.716763832522274
221,142.341,78.63,3.165900000000022,0.8437436618129577
222,141.705,77.78317828,4.0287744444,1.415776410051188
223,141.102,76.82,5.130600000000015,1.8511434887500822
224,141.55144722,77.05,5.1729472199999975,1.6873796099925782
225,150.517,79.85,9.182500000000005,2.902236844624672
226,151.22558184,79.68642824,10.18060385519999,2.5765538349927506
227,148.48438009,78.71592829,9.157187016700021,1.8931639056835268
228,148.24,79.01854226,8.377180199799994,1.4773863935444738
229,146.89361691,78.40734026,8.112624649799983,1.2838416361570777
230,148.021,78.62,8.863599999999991,1.3533216167607438
231,148.205,78.48,9.2954,1.3275708833230957
232,151.73223621,79.73,10.610136209999979,1.4873082139372034
233,155.38257763,82.27214403,9.760882696899984,1.1558520124913712
234,153.70216192,82.09083626,8.401381739800001,0.7441085594153825
235,153.267,81.85683662,8.380399182600001,0.6656617521446663
236,153.91098023,81.84,9.054180229999986,0.7581333398779518
237,153.264,82.06148387,8.015173550100002,0.42171310755363756
238,150.892,80.58572317,8.255269989100015,0.4133059318433773
239,150.893,81.10992003,7.328441546899995,0.04053224442763302
240,149.389,80.34,7.18719999999999,-0.14081134614981908
241,144.67812548,78.24419323,6.185903462900029,-0.8060718818467417
242,143.231,79.3,2.8700000000000045,-2.410720685595275
243,139.84132242,78.69555859,0.5501837157000011,-2.87625445165944
244,139.519,77.91463362,1.6100984926000024,-2.132287815840994
245,135.63656764,76.42522663,0.36391650490000416,-2.2018593969573774
246,137.77249658,78.08,-0.4291034199999899,-2.0579865659222127
247,136.12578318,77.59394049,-1.2154914872999711,-1.9523399389047043
248,138.44733423,77.93261268,0.5066097863999914,-1.3456449235270325
249,139.8875061,78.51,0.9248060999999836,-1.1234141867315905
250,138.44241598,78.0684781,0.2612097429999949,-1.1651264046989207
251,137.379,77.52,0.16859999999999786,-1.077642579876118
252,137.60981327,77.46027005,0.5051352814999746,-0.9069734988988499
253,137.69127383,77.93,-0.24482617000001028,-1.0020152439226464
254,134.53925356,77.39320053,-2.4467113781000194,-1.4217450822049031
255,132.38306943,76.19267811,-2.4779708247000087,-1.301218780993157
256,133.698,76.97939177,-2.555523432900003,-1.2117019326290106
257,135.667,78.16,-2.6761999999999944,-1.161912739084152
258,137.79292501,79.21,-2.4087749899999835,-1.0136101481052107
259,136.64099029,78.83290108,-2.8932446216000187,-1.1040671257354704
260,135.95273906,78.69,-3.3285609399999885,-1.2017990459624754
261,133.27338944,78.47,-5.618510560000004,-1.9877498841056624
262,136.125,78.99,-3.6872999999999934,-1.2593323227399642
263,133.56344602,78.32,-5.062953980000003,-1.7616240647087575
264,131.79649709,78.22676015,-6.664868375499992,-2.125072853782605
265,130.976,77.93,-6.960100000000011,-1.9685448544969002
266,127.63343755,77.41457669,-9.390363191300025,-2.3944103920262663
267,132.05247044,78.69,-7.22882955999998,-1.449423415941568
268,132.24088709,78.81926929,-7.26921955329999,-1.3140784256461546
269,133.935,79.13,-6.125100000000003,-0.8539619628256648
270,132.11909231,78.7784848,-7.318825785999991,-1.1542291388710615
271,134.03720529,79.22226056,-6.186195901199994,-0.6891277058755915
