,OCEANUSDT,AGIXUSDT,Spread,Zscore
133,0.858,0.84794193,-0.015380187899999953,-1.5469207914027567
134,0.8563,0.84576358,-0.014836487399999987,-1.4230059493365181
135,0.87028838,0.86068555,-0.016217736500000024,-1.4701082038984077
136,0.87394707,0.8686,-0.020710930000000016,-1.8228095786753264
137,0.88108112,0.8742,-0.019344879999999898,-1.5633944384449592
138,0.8787,0.8713,-0.01873899999999995,-1.3646208810777658
139,0.87137502,0.8631,-0.017617980000000033,-1.1429526745867062
140,0.8807,0.86541996,-0.01068255880000002,-0.4247299015453655
141,0.84641879,0.83158047,-0.010109094100000049,-0.2930995006878933
142,0.8059,0.7838,-0.0014140000000001374,0.6105969815584794
143,0.8259,0.80352311,-0.0017288033000000258,0.6203966670291071
144,0.74782803,0.72356945,0.0025514964999999723,1.099995178816614
145,0.68392701,0.65622492,0.008015342400000014,1.664157593468873
146,0.723,0.68460426,0.01785761220000004,2.3631606475345177
147,0.7698946,0.73172658,0.016216222599999996,2.0710798643763986
148,0.7763,0.73437343,0.01989536709999995,2.0647273144668112
149,0.75140585,0.7212,0.008569850000000101,1.0565276372468873
150,0.7665,0.74532222,-0.0011818866000000705,0.256008039278906
151,0.75940282,0.7333,0.004103820000000091,0.6306550595469065
152,0.76560565,0.74961694,-0.006499798200000018,-0.19126829591064926
153,0.8035,0.7782,0.0019540000000000113,0.4298420473367143
154,0.82078019,0.79932959,-0.002529287700000049,0.03527014182948637
155,0.8449,0.8343,-0.014429000000000136,-0.9119350794103546
156,0.8509,0.83432607,-0.008455852100000105,-0.477943766201508
157,0.84652917,0.83233347,-0.01077430410000002,-0.7385194079296646
158,0.8332,0.81967299,-0.011063179700000036,-0.830683793687637
159,0.83136208,0.81866264,-0.011860439200000017,-0.9674942081107536
160,0.81013495,0.79805156,-0.01185815680000002,-1.0272726806523111
161,0.83002666,0.83501175,-0.03003544250000001,-2.3194673975885025
162,0.8231,0.8119,-0.013156999999999974,-0.9002681933717648
163,0.82587971,0.81921881,-0.01791566429999991,-1.1805715256653901
164,0.834,0.82338262,-0.014084098600000039,-0.8169951938676085
165,0.8537,0.8338,-0.005113999999999952,-0.09309176716783403
166,0.83522126,0.80909882,0.0018494753999999114,0.481510000814837
167,0.862,0.8436958,-0.0070066739999999905,-0.13932276667664814
168,0.8459,0.83571294,-0.014884328199999963,-0.7563137435911096
169,0.8371,0.82270376,-0.010284872800000122,-0.22787455893011843
170,0.82731294,0.82126384,-0.018588815199999997,-1.1237403925974168
171,0.89379389,0.87804446,-0.01059190380000008,-0.06880955471843773
172,0.90081526,0.88193226,-0.007574967799999999,0.4295145660554322
173,0.87729233,0.86086732,-0.00940100960000001,0.19252957363386392
174,0.8812,0.86853128,-0.013387218400000012,-0.29736210338694136
175,0.8651,0.8566,-0.017198000000000047,-0.8125590663846548
176,0.8713,0.8615,-0.016045000000000087,-0.60944168043548
177,0.86546433,0.8588,-0.019099670000000013,-1.0021926511806543
178,0.89040127,0.88943471,-0.025716481299999927,-1.7739641537601991
179,0.91808908,0.91815353,-0.027609055900000068,-1.7729940598678824
180,0.90711822,0.89358502,-0.01327435060000004,0.14086440214289803
181,0.9031,0.8931,-0.016793000000000058,-0.2965317590993496
182,0.9141,0.9066,-0.019697999999999993,-0.834179094684188
183,0.9304,0.9169,-0.014007000000000103,0.01609768056397039
184,0.9178,0.898,-0.007140000000000146,0.9443495437869408
185,0.9322,0.9103,-0.005408999999999997,1.1003510493973607
186,0.9285,0.907,-0.005710000000000104,1.0667605906861184
187,0.89545071,0.87227494,-0.002992478200000148,1.5880088130414105
188,0.8983,0.8793,-0.007379000000000024,0.9269751154392821
189,0.872,0.8545,-0.008135000000000114,0.7523983065253979
190,0.85205039,0.84272537,-0.015956741100000005,-0.3822016120488192
191,0.8254,0.80806856,-0.006910616800000047,0.8897128491179864
192,0.85592611,0.83534785,-0.004482175500000074,1.1688048216714615
193,0.8255,0.8125,-0.011375000000000024,0.20111000934172246
194,0.84804485,0.8345836,-0.011576258000000061,0.18782362205486916
195,0.8556,0.8459,-0.01567699999999994,-0.3982151972520196
196,0.85735147,0.8347,-0.002389529999999973,1.3859059150660875
197,0.83938261,0.8184,-0.0035693900000000056,1.1077683967727212
198,0.8451072,0.82473374,-0.004368552200000098,0.9076620425344066
199,0.84899246,0.82625589,-0.0020511067000000827,1.1667388642995218
200,0.8355,0.8137,-0.00261100000000003,1.1047480717974807
201,0.8275892,0.8006125,0.0029583250000000394,1.834454093185021
202,0.83876965,0.81264968,0.0017404796000000111,1.4824709931107856
203,0.8629,0.836,0.0018200000000000438,1.4363328364500048
204,0.8666,0.84291101,-0.0015983403000000562,0.7301537163020908
205,0.85976377,0.8334,0.00136177000000004,1.1824019579047678
206,0.85368832,0.8315,-0.002756680000000067,0.3879064801533797
207,0.849,0.82402894,0.0002501917999999659,0.8770666762198402
208,0.8681,0.8413,0.0015609999999999236,1.0474349643490968
209,0.8431,0.82241937,-0.003991951100000057,0.033443537868534025
210,0.84381865,0.81457226,0.004809222199999907,1.4332903668619001
211,0.8267,0.8154,-0.013162000000000007,-1.7473215634168477
212,0.81575145,0.79208201,-9.302030000002404e-05,0.5421181840928629
213,0.84310901,0.82930937,-0.011079641100000037,-1.3167777017481903
214,0.8456,0.8209,7.299999999998974e-05,0.529447820137239
215,0.8538,0.83271666,-0.0038981597999999673,-0.26698111722264634
216,0.8464,0.82271481,-0.0009962543000000545,0.19141183344756468
217,0.856409,0.8336769,-0.002278207000000143,-0.1117239749761481
218,0.88340265,0.8538,0.003988649999999927,1.2329411101891279
